y,ds,unique_id,index,TimesNet,TimesNet-median,TimesNet-lo-100,TimesNet-lo-95,TimesNet-lo-90,TimesNet-lo-85,TimesNet-lo-80,TimesNet-hi-80,TimesNet-hi-85,TimesNet-hi-90,TimesNet-hi-95,TimesNet-hi-100
277.0,2025-06-12 11:55:00,series_1,11,221.84885,221.68958,101.05693,167.53,178.74539,184.42279,190.20213,254.24936,259.5862,266.2485,277.4394,365.35004
273.0,2025-06-12 12:00:00,series_1,0,254.55391,254.75272,189.79396,228.59341,235.72305,238.99983,241.00618,267.50504,269.47833,272.7841,279.37515,297.48093
283.0,2025-06-12 12:05:00,series_1,1,255.19322,254.88298,197.31067,227.4205,232.84361,236.53865,239.03883,271.34036,274.06613,278.79333,284.21753,357.72906
281.0,2025-06-12 12:10:00,series_1,2,256.55258,256.39755,202.6404,229.07455,235.1484,238.25304,240.18277,273.05267,275.59995,279.41025,284.7668,320.80103
282.0,2025-06-12 12:15:00,series_1,3,255.0858,255.60788,61.931274,220.95972,231.84015,236.01541,238.76085,273.61536,276.65234,279.80325,284.83774,328.4715
279.0,2025-06-12 12:20:00,series_1,4,251.35512,252.30081,186.57626,215.35773,223.32393,227.80545,231.37958,269.6711,272.26758,276.34958,282.12665,351.04977
198.0,2025-06-12 14:00:00,series_1,0,217.10574,217.10852,137.97076,196.45383,200.36224,204.44753,206.30775,228.32597,230.47403,232.89464,237.02023,281.19174
193.0,2025-06-12 14:05:00,series_1,1,212.05382,211.55984,120.88041,188.81583,194.51643,197.14883,198.96361,225.38138,226.6433,230.51558,235.67197,300.7157
185.0,2025-06-12 16:05:00,series_1,1,171.199,170.97963,138.79654,154.64728,157.98079,160.7097,161.88698,180.78648,182.39668,183.54312,186.99115,219.6187
188.0,2025-06-12 16:15:00,series_1,3,171.47972,171.55408,113.727936,155.2415,159.48479,161.26334,163.13393,180.46002,181.46347,184.00931,186.43459,217.06525
201.0,2025-06-12 16:20:00,series_1,4,165.9863,166.54134,97.77627,146.68916,152.54187,155.22142,156.58128,175.20378,176.55988,178.61847,181.55241,253.49336
185.0,2025-06-12 16:35:00,series_1,7,167.11009,167.1275,83.07339,144.83873,150.24104,152.93193,155.04785,179.36537,181.3312,183.72809,187.66374,251.74373
188.0,2025-06-12 16:40:00,series_1,8,170.37172,170.70123,107.67406,148.29646,154.25777,156.68896,158.01767,182.24599,183.90842,186.86703,190.09161,243.3115
205.0,2025-06-12 16:45:00,series_1,9,168.32957,168.18541,105.36389,142.43465,149.2387,153.05057,155.43916,181.73705,184.13475,187.63002,192.82185,254.43091
206.0,2025-06-12 16:50:00,series_1,10,166.4926,166.37773,90.95694,139.91327,146.81424,149.57112,152.03375,180.47635,183.09598,185.76347,191.93686,235.68149
230.0,2025-06-12 16:55:00,series_1,11,168.41054,167.73187,116.944214,142.22154,149.1629,151.70377,153.57343,183.03586,184.97495,187.57007,198.3813,290.2712
171.0,2025-06-12 17:10:00,series_1,2,206.49785,207.058,26.443542,164.80421,174.81235,179.04161,183.4972,228.42476,231.86485,237.06093,244.82585,312.7909
176.0,2025-06-12 17:30:00,series_1,6,216.06714,216.41965,-26.567139,171.44667,180.48323,186.08687,189.39761,243.67389,248.91661,256.1289,265.906,385.94696
355.0,2025-06-12 19:35:00,series_1,7,283.5099,284.1181,120.226715,206.68382,221.54085,232.32831,238.62065,328.93176,335.70963,345.04108,368.18207,485.79718
320.0,2025-06-12 22:00:00,series_1,0,363.88174,363.74393,190.05539,316.78186,326.21866,332.61203,337.1723,388.538,393.58453,400.24878,407.24896,456.35547
312.0,2025-06-12 22:05:00,series_1,1,358.72745,358.21515,155.1594,312.63416,321.12344,324.8511,330.55408,388.13547,392.6727,398.7021,410.49942,504.50745
307.0,2025-06-12 22:10:00,series_1,2,357.98584,358.0368,152.25432,300.1527,313.7588,322.76257,328.34912,388.46002,393.84872,402.05585,413.35153,475.69366
282.0,2025-06-12 22:15:00,series_1,3,354.1316,355.35718,155.68037,291.43164,303.87878,314.11255,321.20178,387.1357,391.90924,400.81003,412.77863,567.9814
272.0,2025-06-12 22:20:00,series_1,4,338.82333,340.29425,204.82663,269.98077,285.2701,295.27066,301.3523,374.92847,381.60632,386.67026,401.7268,536.9813
